Dystans do przejścia: 20, dlugosc kroku: 2.3
0:(x,y)=(0,0)
1:(x,y)=(0.152506,2.29494)
2:(x,y)=(1.70157,0.594823)
3:(x,y)=(1.38701,2.87321)
4:(x,y)=(-0.520405,1.588)
5:(x,y)=(-1.60514,-0.440142)
6:(x,y)=(-1.65597,-2.73958)
7:(x,y)=(0.104486,-4.21972)
8:(x,y)=(0.134953,-1.91992)
9:(x,y)=(-0.419252,-4.15215)
10:(x,y)=(1.84483,-4.55706)
11:(x,y)=(2.33957,-2.3109)
12:(x,y)=(1.8846,-0.0563465)
13:(x,y)=(0.0603833,1.34445)
14:(x,y)=(0.151971,-0.953721)
15:(x,y)=(-2.12501,-0.629145)
16:(x,y)=(-4.3217,0.0524365)
17:(x,y)=(-6.4995,-0.687295)
18:(x,y)=(-8.12227,0.942621)
19:(x,y)=(-8.65676,3.17965)
20:(x,y)=(-10.1134,4.95956)
21:(x,y)=(-7.94906,4.18146)
22:(x,y)=(-9.08733,6.18004)
23:(x,y)=(-7.46461,7.81001)
24:(x,y)=(-9.10169,6.19447)
25:(x,y)=(-9.88943,8.35537)
26:(x,y)=(-10.9017,6.2901)
27:(x,y)=(-9.15446,7.78582)
28:(x,y)=(-9.9422,9.94671)
29:(x,y)=(-9.56739,12.216)
30:(x,y)=(-10.6521,10.1878)
31:(x,y)=(-11.7369,8.15969)
32:(x,y)=(-12.6382,10.2757)
33:(x,y)=(-11.5715,12.3134)
34:(x,y)=(-9.64155,11.0622)
35:(x,y)=(-11.6039,9.86257)
36:(x,y)=(-9.43954,9.08447)
37:(x,y)=(-11.7243,8.82039)
38:(x,y)=(-13.9952,8.45556)
39:(x,y)=(-12.857,10.4542)
40:(x,y)=(-10.7215,9.59995)
41:(x,y)=(-11.9298,11.557)
42:(x,y)=(-11.1805,13.7315)
po 43 krokach delikwent osiagnal polozenie:
:(x,y)=(-12.5733,15.5619)
czyli
:(m,a)=(20.0065,2.25037)
Dystans do przejścia: 23, dlugosc kroku: 0.34
0:(x,y)=(0,0)
1:(x,y)=(-0.290089,-0.177336)
2:(x,y)=(-0.315636,-0.516375)
3:(x,y)=(-0.26319,-0.852306)
4:(x,y)=(0.0752004,-0.885348)
5:(x,y)=(-0.238191,-1.0172)
6:(x,y)=(-0.409056,-1.31115)
7:(x,y)=(-0.675015,-1.09933)
8:(x,y)=(-0.455062,-0.840064)
9:(x,y)=(-0.483618,-0.501266)
10:(x,y)=(-0.651884,-0.205822)
11:(x,y)=(-0.825353,0.086596)
12:(x,y)=(-0.808818,0.426194)
13:(x,y)=(-0.58431,0.170858)
14:(x,y)=(-0.487865,-0.155176)
15:(x,y)=(-0.634805,0.151432)
16:(x,y)=(-0.742721,-0.170987)
17:(x,y)=(-0.417996,-0.070222)
18:(x,y)=(-0.239387,0.219085)
19:(x,y)=(-0.285888,0.55589)
20:(x,y)=(-0.536193,0.325788)
21:(x,y)=(-0.197802,0.292746)
22:(x,y)=(-0.478081,0.485214)
23:(x,y)=(-0.443542,0.823455)
24:(x,y)=(-0.707609,0.609285)
25:(x,y)=(-0.437948,0.816368)
26:(x,y)=(-0.430425,0.476452)
27:(x,y)=(-0.760039,0.393056)
28:(x,y)=(-0.716521,0.0558525)
29:(x,y)=(-1.05519,0.0858979)
30:(x,y)=(-0.724852,0.166373)
31:(x,y)=(-0.538633,0.450841)
32:(x,y)=(-0.866718,0.361624)
33:(x,y)=(-1.20672,0.361614)
34:(x,y)=(-1.21123,0.701584)
35:(x,y)=(-1.39494,0.987678)
36:(x,y)=(-1.25346,1.29684)
37:(x,y)=(-1.55398,1.45587)
38:(x,y)=(-1.75746,1.18348)
39:(x,y)=(-1.99086,0.936241)
40:(x,y)=(-1.65134,0.954289)
41:(x,y)=(-1.31474,1.00228)
42:(x,y)=(-1.10646,0.733539)
43:(x,y)=(-0.821175,0.54858)
44:(x,y)=(-0.489463,0.623195)
45:(x,y)=(-0.532971,0.28599)
46:(x,y)=(-0.871056,0.322026)
47:(x,y)=(-0.579408,0.496787)
48:(x,y)=(-0.262626,0.620275)
49:(x,y)=(-0.0519893,0.887169)
50:(x,y)=(0.287531,0.905217)
51:(x,y)=(0.304067,1.24481)
52:(x,y)=(-0.0350819,1.26886)
53:(x,y)=(0.303309,1.23582)
54:(x,y)=(0.221383,0.905836)
55:(x,y)=(0.546108,1.0066)
56:(x,y)=(0.505576,1.34418)
57:(x,y)=(0.377893,1.65929)
58:(x,y)=(0.43923,1.99371)
59:(x,y)=(0.21473,1.73837)
60:(x,y)=(0.144536,1.4057)
61:(x,y)=(0.431446,1.22326)
62:(x,y)=(0.630077,0.947316)
63:(x,y)=(0.294382,0.893384)
64:(x,y)=(0.123517,0.599436)
65:(x,y)=(-0.105468,0.348108)
66:(x,y)=(-0.410098,0.19711)
67:(x,y)=(-0.598828,-0.0856993)
68:(x,y)=(-0.880794,-0.275688)
69:(x,y)=(-0.9944,-0.596146)
70:(x,y)=(-0.7632,-0.346854)
71:(x,y)=(-1.08609,-0.240366)
72:(x,y)=(-0.861586,-0.495702)
73:(x,y)=(-1.00308,-0.186541)
74:(x,y)=(-0.858855,-0.494437)
75:(x,y)=(-1.06233,-0.766829)
76:(x,y)=(-1.18721,-1.08307)
77:(x,y)=(-0.905239,-1.27305)
78:(x,y)=(-0.568643,-1.22505)
79:(x,y)=(-0.472198,-1.55109)
80:(x,y)=(-0.494752,-1.21184)
81:(x,y)=(-0.158593,-1.16088)
82:(x,y)=(0.0855149,-0.924212)
83:(x,y)=(0.411122,-1.02209)
84:(x,y)=(0.745267,-0.959263)
85:(x,y)=(0.461626,-0.771787)
86:(x,y)=(0.193809,-0.981249)
87:(x,y)=(-0.050306,-0.744589)
88:(x,y)=(0.0939148,-1.05249)
89:(x,y)=(0.426276,-1.12415)
90:(x,y)=(0.0869286,-1.1452)
91:(x,y)=(0.23386,-0.838591)
92:(x,y)=(-0.0957538,-0.921987)
93:(x,y)=(-0.148189,-1.25792)
94:(x,y)=(0.110098,-1.03681)
95:(x,y)=(0.400193,-1.21414)
96:(x,y)=(0.211463,-1.49695)
97:(x,y)=(0.0405978,-1.7909)
98:(x,y)=(0.241655,-1.51672)
99:(x,y)=(0.36373,-1.19939)
100:(x,y)=(0.0313711,-1.27106)
101:(x,y)=(0.369455,-1.23502)
102:(x,y)=(0.0405898,-1.14872)
103:(x,y)=(0.139907,-0.823545)
104:(x,y)=(0.0756132,-1.15741)
105:(x,y)=(-0.264334,-1.1514)
106:(x,y)=(-0.17949,-0.822159)
107:(x,y)=(-0.150944,-0.483359)
108:(x,y)=(-0.185493,-0.145119)
109:(x,y)=(-0.490123,-0.296117)
110:(x,y)=(-0.620581,-0.610093)
111:(x,y)=(-0.288219,-0.681759)
112:(x,y)=(0.034671,-0.575261)
113:(x,y)=(0.335185,-0.416228)
114:(x,y)=(0.0869185,-0.183926)
115:(x,y)=(0.412526,-0.281803)
116:(x,y)=(0.156192,-0.0584358)
117:(x,y)=(0.369191,-0.323448)
118:(x,y)=(0.131453,-0.566513)
119:(x,y)=(0.29971,-0.271065)
120:(x,y)=(0.638858,-0.247009)
121:(x,y)=(0.96772,-0.160699)
122:(x,y)=(1.30511,-0.118674)
123:(x,y)=(1.23197,0.213365)
124:(x,y)=(1.56611,0.276191)
125:(x,y)=(1.31581,0.0460881)
126:(x,y)=(1.24266,0.378127)
127:(x,y)=(1.58218,0.396175)
128:(x,y)=(1.78081,0.12023)
129:(x,y)=(1.98909,-0.148511)
130:(x,y)=(1.82608,0.149865)
131:(x,y)=(1.63484,0.430986)
132:(x,y)=(1.30924,0.333099)
133:(x,y)=(0.989291,0.218066)
134:(x,y)=(0.707325,0.0280776)
135:(x,y)=(0.854257,0.33469)
136:(x,y)=(0.699236,0.0320869)
137:(x,y)=(1.02306,-0.0715389)
138:(x,y)=(1.06955,0.265268)
139:(x,y)=(1.18599,0.584708)
140:(x,y)=(1.43219,0.350218)
141:(x,y)=(1.71075,0.155276)
142:(x,y)=(2.0449,0.218102)
143:(x,y)=(2.3801,0.275003)
144:(x,y)=(2.51057,-0.0389687)
145:(x,y)=(2.80967,-0.200647)
146:(x,y)=(2.96736,0.100572)
147:(x,y)=(3.26928,-0.0557857)
148:(x,y)=(3.46791,-0.331731)
149:(x,y)=(3.21357,-0.557366)
150:(x,y)=(3.31001,-0.883401)
151:(x,y)=(3.27847,-1.22193)
152:(x,y)=(3.42269,-1.52983)
153:(x,y)=(3.57772,-1.83243)
154:(x,y)=(3.49579,-2.16241)
155:(x,y)=(3.51233,-1.82281)
156:(x,y)=(3.48377,-1.48401)
157:(x,y)=(3.79832,-1.35494)
158:(x,y)=(3.77277,-1.69398)
159:(x,y)=(4.11229,-1.67593)
160:(x,y)=(3.77815,-1.61311)
161:(x,y)=(3.87746,-1.28794)
162:(x,y)=(4.10646,-1.53926)
163:(x,y)=(4.08691,-1.8787)
164:(x,y)=(3.81185,-2.07855)
165:(x,y)=(3.70394,-2.40097)
166:(x,y)=(3.36405,-2.41)
167:(x,y)=(3.51639,-2.10604)
168:(x,y)=(3.83317,-1.98255)
169:(x,y)=(4.15606,-1.87605)
170:(x,y)=(4.051,-1.55269)
171:(x,y)=(3.84035,-1.2858)
172:(x,y)=(4.14498,-1.43679)
173:(x,y)=(3.87532,-1.22972)
174:(x,y)=(3.6312,-0.993059)
175:(x,y)=(3.96959,-1.0261)
176:(x,y)=(3.79098,-0.736799)
177:(x,y)=(3.4753,-0.863086)
178:(x,y)=(3.29414,-1.1508)
179:(x,y)=(3.52089,-0.897455)
180:(x,y)=(3.34742,-0.605037)
181:(x,y)=(3.62939,-0.795017)
182:(x,y)=(3.292,-0.753002)
183:(x,y)=(3.01172,-0.560534)
184:(x,y)=(3.3498,-0.524488)
185:(x,y)=(3.12756,-0.781801)
186:(x,y)=(3.30361,-1.07267)
187:(x,y)=(3.25711,-0.735867)
188:(x,y)=(3.24057,-0.39627)
189:(x,y)=(3.29597,-0.0608149)
190:(x,y)=(3.22872,0.272467)
191:(x,y)=(3.53467,0.420763)
192:(x,y)=(3.33605,0.144812)
193:(x,y)=(3.13016,0.415385)
194:(x,y)=(2.92189,0.146638)
195:(x,y)=(2.66956,0.374509)
196:(x,y)=(2.8352,0.0775874)
197:(x,y)=(2.8995,-0.256276)
198:(x,y)=(3.03825,0.0541251)
199:(x,y)=(3.08771,0.390508)
200:(x,y)=(3.39992,0.525132)
201:(x,y)=(3.32973,0.192457)
202:(x,y)=(3.14857,-0.0952578)
203:(x,y)=(2.85386,0.0743046)
204:(x,y)=(2.99809,-0.233592)
205:(x,y)=(3.13959,-0.542749)
206:(x,y)=(2.82858,-0.680131)
207:(x,y)=(3.06415,-0.434971)
208:(x,y)=(2.90645,-0.133757)
209:(x,y)=(2.71522,0.147365)
210:(x,y)=(2.54175,0.439783)
211:(x,y)=(2.20366,0.475819)
212:(x,y)=(2.51092,0.330246)
213:(x,y)=(2.8439,0.398977)
214:(x,y)=(2.73313,0.720425)
215:(x,y)=(3.06727,0.783251)
216:(x,y)=(2.82527,0.544432)
217:(x,y)=(2.64665,0.833734)
218:(x,y)=(2.51066,0.522117)
219:(x,y)=(2.69688,0.806585)
220:(x,y)=(2.59468,0.482307)
221:(x,y)=(2.27682,0.361627)
222:(x,y)=(2.1775,0.686795)
223:(x,y)=(2.179,0.346799)
224:(x,y)=(2.48878,0.486928)
225:(x,y)=(2.82617,0.528953)
226:(x,y)=(2.52289,0.682633)
227:(x,y)=(2.1829,0.679623)
228:(x,y)=(2.32165,0.990025)
229:(x,y)=(1.98929,0.918349)
230:(x,y)=(2.29392,0.76736)
231:(x,y)=(1.96358,0.847825)
232:(x,y)=(2.21389,0.61773)
233:(x,y)=(1.93534,0.42278)
234:(x,y)=(2.22698,0.597542)
235:(x,y)=(2.44922,0.854861)
236:(x,y)=(2.35566,0.527986)
237:(x,y)=(2.58686,0.777278)
238:(x,y)=(2.92387,0.732278)
239:(x,y)=(2.58388,0.729269)
240:(x,y)=(2.87079,0.546834)
241:(x,y)=(2.53164,0.570879)
242:(x,y)=(2.79188,0.352077)
243:(x,y)=(2.94691,0.049478)
244:(x,y)=(3.25545,0.192335)
245:(x,y)=(2.94444,0.0549526)
246:(x,y)=(3.25039,0.203249)
247:(x,y)=(3.1482,-0.12103)
248:(x,y)=(3.37271,-0.376366)
249:(x,y)=(3.7093,-0.328375)
250:(x,y)=(4.04739,-0.292329)
251:(x,y)=(4.35465,-0.437902)
